"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-06","2021","06","06","","12.5","","8.7","","10.6","","7.4","","0.0","","","","","","1.0","","","","25","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-07","2021","06","07","","15.0","","6.5","","10.7","","7.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-08","2021","06","08","","14.9","","7.7","","11.3","","6.7","","0.0","","","","","","0.0","","","","26","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-09","2021","06","09","","16.2","","10.1","","13.1","","4.9","","0.0","","","","","","0.0","","","","24","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-10","2021","06","10","","16.4","","8.9","","12.6","","5.4","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-11","2021","06","11","","14.7","","9.7","","12.2","","5.8","","0.0","","","","","","1.6","","","","13","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-12","2021","06","12","","20.8","","9.2","","15.0","","3.0","","0.0","","","","","","1.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-13","2021","06","13","","16.9","","10.6","","13.8","","4.2","","0.0","","","","","","2.6","","","","9","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-14","2021","06","14","","16.5","","10.5","","13.5","","4.5","","0.0","","","","","","0.2","","","","26","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-15","2021","06","15","","16.9","","10.8","","13.8","","4.2","","0.0","","","","","","0.0","","","","25","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-16","2021","06","16","","18.3","","10.3","","14.3","","3.7","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-17","2021","06","17","","19.1","","10.9","","15.0","","3.0","","0.0","","","","","","0.0","","","","26","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-18","2021","06","18","","18.7","","11.2","","14.9","","3.1","","0.0","","","","","","0.0","","","","28","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-19","2021","06","19","","23.6","","10.7","","17.1","","0.9","","0.0","","","","","","0.0","","","","25","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-20","2021","06","20","","23.8","","11.6","","17.7","","0.3","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-21","2021","06","21","","28.9","","13.8","","21.3","","0.0","","3.3","","","","","","0.0","","","","35","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-22","2021","06","22","","19.7","","12.3","","16.0","","2.0","","0.0","","","","","","0.0","","","","22","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-23","2021","06","23","","17.4","","10.9","","14.1","","3.9","","0.0","","","","","","0.0","","","","24","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-24","2021","06","24","","20.6","","11.1","","15.9","","2.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-25","2021","06","25","","29.3","","13.1","","21.2","","0.0","","3.2","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-26","2021","06","26","","32.5","","16.2","","24.4","","0.0","","6.4","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-27","2021","06","27","","38.3","","18.4","","28.4","","0.0","","10.4","","","","","","0.0","","","","1","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-28","2021","06","28","","39.8","","19.5","","29.7","","0.0","","11.7","","","","","","0.0","","","","2","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-29","2021","06","29","","28.9","","15.4","","22.1","","0.0","","4.1","","","","","","0.0","","","","26","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-06-30","2021","06","30","","20.7","","12.1","","16.4","","1.6","","0.0","","","","","","0.0","","","","22","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-01","2021","07","01","","19.2","","11.5","","15.4","","2.6","","0.0","","","","","","0.0","","","","24","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-02","2021","07","02","","20.5","","12.1","","16.3","","1.7","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-03","2021","07","03","","19.9","","12.0","","15.9","","2.1","","0.0","","","","","","0.0","","","","24","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-04","2021","07","04","","21.0","","12.0","","16.5","","1.5","","0.0","","","","","","0.0","","","","25","","45",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-05","2021","07","05","","18.5","","12.7","","15.6","","2.4","","0.0","","","","","","0.0","","","","24","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-06","2021","07","06","","20.2","","11.5","","15.9","","2.1","","0.0","","","","","","0.0","","","","24","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-07","2021","07","07","","18.1","","12.3","","15.2","","2.8","","0.0","","","","","","0.0","","","","23","","53",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-08","2021","07","08","","17.8","","11.3","","14.6","","3.4","","0.0","","","","","","0.0","","","","25","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-09","2021","07","09","","20.3","","11.5","","15.9","","2.1","","0.0","","","","","","0.0","","","","24","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-10","2021","07","10","","19.5","","11.5","","15.5","","2.5","","0.0","","","","","","0.0","","","","24","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-11","2021","07","11","","21.4","","11.5","","16.5","","1.5","","0.0","","","","","","0.0","","","","26","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-12","2021","07","12","","21.8","","11.6","","16.7","","1.3","","0.0","","","","","","0.0","","","","26","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-13","2021","07","13","","22.1","","11.0","","16.6","","1.4","","0.0","","","","","","0.0","","","","25","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-14","2021","07","14","","19.1","","11.6","","15.3","","2.7","","0.0","","","","","","0.0","","","","26","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-15","2021","07","15","","19.1","","11.4","","15.2","","2.8","","0.0","","","","","","0.0","","","","26","","58",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-16","2021","07","16","","18.8","","11.6","","15.2","","2.8","","0.0","","","","","","0.0","","","","26","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-17","2021","07","17","","17.0","","12.1","","14.5","","3.5","","0.0","","","","","","0.0","","","","25","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-18","2021","07","18","","18.7","","11.7","","15.2","","2.8","","0.0","","","","","","0.0","","","","25","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-19","2021","07","19","","22.4","","12.3","","17.3","","0.7","","0.0","","","","","","0.0","","","","25","","48",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-20","2021","07","20","","21.3","","13.2","","17.2","","0.8","","0.0","","","","","","0.0","","","","26","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-21","2021","07","21","","22.3","","12.5","","17.4","","0.6","","0.0","","","","","","0.0","","","","26","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-22","2021","07","22","","18.8","","11.8","","15.3","","2.7","","0.0","","","","","","0.0","","","","24","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-23","2021","07","23","","18.2","","11.8","","15.0","","3.0","","0.0","","","","","","0.0","","","","24","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-24","2021","07","24","","19.5","","13.0","","16.3","","1.7","","0.0","","","","","","0.0","","","","23","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-25","2021","07","25","","25.0","","12.5","","18.8","","0.0","","0.8","","","","","","0.0","","","","26","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-26","2021","07","26","","20.6","","12.2","","16.4","","1.6","","0.0","","","","","","0.0","","","","25","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-27","2021","07","27","","19.0","","11.9","","15.5","","2.5","","0.0","","","","","","0.0","","","","25","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-28","2021","07","28","","23.2","","11.9","","17.6","","0.4","","0.0","","","","","","0.0","","","","26","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-29","2021","07","29","","22.7","","11.7","","17.2","","0.8","","0.0","","","","","","0.0","","","","23","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-30","2021","07","30","","24.2","","12.1","","18.1","","0.0","","0.1","","","","","","0.0","","","","24","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-07-31","2021","07","31","","22.1","","13.5","","17.8","","0.2","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-01","2021","08","01","","20.7","","12.0","","16.4","","1.6","","0.0","","","","","","0.0","","","","25","","41",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-02","2021","08","02","","19.8","","12.3","","16.1","","1.9","","0.0","","","","","","0.0","","","","26","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-03","2021","08","03","","23.6","","13.4","","18.5","","0.0","","0.5","","","","","","0.0","","","","24","","44",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-04","2021","08","04","","23.3","","12.8","","18.1","","0.0","","0.1","","","","","","0.0","","","","25","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-05","2021","08","05","","23.3","","14.6","","19.0","","0.0","","1.0","","","","","","0.0","","","","26","","68",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-06","2021","08","06","","20.2","","12.4","","16.3","","1.7","","0.0","","","","","","0.0","","","","25","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-07","2021","08","07","","20.4","","12.5","","16.4","","1.6","","0.0","","","","","","5.0","","","","25","","65",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-08","2021","08","08","","20.6","","12.9","","16.8","","1.2","","0.0","","","","","","0.0","","","","26","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-09","2021","08","09","","20.3","","12.1","","16.2","","1.8","","0.0","","","","","","0.0","","","","24","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-10","2021","08","10","","25.8","","12.5","","19.2","","0.0","","1.2","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-11","2021","08","11","","29.8","","14.5","","22.2","","0.0","","4.2","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-12","2021","08","12","","28.3","","17.9","","23.1","","0.0","","5.1","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-13","2021","08","13","","27.2","","16.0","","21.6","","0.0","","3.6","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-14","2021","08","14","","20.7","","11.7","","16.2","","1.8","","0.0","","","","","","0.0","","","","25","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-15","2021","08","15","","27.0","","13.1","","20.1","","0.0","","2.1","","","","","","0.0","","","","28","","51",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-16","2021","08","16","","21.9","","13.6","","17.8","","0.2","","0.0","","","","","","0.0","","","","27","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-17","2021","08","17","","17.9","","11.7","","14.8","","3.2","","0.0","","","","","","1.8","","","","27","","40",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-18","2021","08","18","","20.1","","9.6","","14.9","","3.1","","0.0","","","","","","0.0","","","","24","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-19","2021","08","19","","20.7","","10.9","","15.8","","2.2","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-20","2021","08","20","","17.4","","11.4","","14.4","","3.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-21","2021","08","21","","16.1","","11.4","","13.8","","4.2","","0.0","","","","","","0.0","","","","22","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-22","2021","08","22","","20.3","","11.9","","16.1","","1.9","","0.0","","","","","","0.0","","","","26","","51",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-23","2021","08","23","","18.3","","11.0","","14.7","","3.3","","0.0","","","","","","0.0","","","","27","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-24","2021","08","24","","23.3","","11.1","","17.2","","0.8","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-25","2021","08","25","","19.7","","11.0","","15.3","","2.7","","0.0","","","","","","0.0","","","","25","","45",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-26","2021","08","26","","18.5","","11.9","","15.2","","2.8","","0.0","","","","","","0.0","","","","26","","48",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-27","2021","08","27","","20.5","","11.9","","16.2","","1.8","","0.0","","","","","","0.0","","","","24","","46",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-28","2021","08","28","","17.3","","10.7","","14.0","","4.0","","0.0","","","","","","0.0","","","","23","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-29","2021","08","29","","19.1","","11.7","","15.4","","2.6","","0.0","","","","","","0.0","","","","27","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-30","2021","08","30","","18.0","","12.0","","15.0","","3.0","","0.0","","","","","","0.0","","","","27","","53",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-08-31","2021","08","31","","17.7","","11.5","","14.6","","3.4","","0.0","","","","","","0.0","","","","25","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-01","2021","09","01","","20.7","","9.5","","15.1","","2.9","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-02","2021","09","02","","22.6","","11.8","","17.2","","0.8","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-03","2021","09","03","","16.5","","10.7","","13.6","","4.4","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-04","2021","09","04","","18.2","","11.8","","15.0","","3.0","","0.0","","","","","","0.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-05","2021","09","05","","18.3","","12.1","","15.2","","2.8","","0.0","","","","","","0.4","","","","27","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-06","2021","09","06","","18.7","","11.9","","15.3","","2.7","","0.0","","","","","","0.0","","","","25","","45",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-07","2021","09","07","","25.7","","12.1","","18.9","","0.0","","0.9","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-08","2021","09","08","","21.7","","13.1","","17.4","","0.6","","0.0","","","","","","0.2","","","","24","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-09","2021","09","09","","21.8","","13.7","","17.7","","0.3","","0.0","","","","","","0.0","","","","25","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-10","2021","09","10","","21.8","","13.0","","17.4","","0.6","","0.0","","","","","","0.0","","","","26","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-11","2021","09","11","","14.9","","11.5","","13.2","","4.8","","0.0","","","","","","4.4","","","","25","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-12","2021","09","12","","18.9","","11.1","","15.0","","3.0","","0.0","","","","","","5.2","","","","27","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-13","2021","09","13","","17.8","","11.3","","14.5","","3.5","","0.0","","","","","","0.0","","","","22","","32",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-14","2021","09","14","","14.6","","10.5","","12.5","","5.5","","0.0","","","","","","2.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-15","2021","09","15","","17.5","","10.5","","14.0","","4.0","","0.0","","","","","","0.0","","","","25","","49",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-16","2021","09","16","","17.9","","9.0","","13.4","","4.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-17","2021","09","17","","14.6","","9.9","","12.2","","5.8","","0.0","","","","","","27.4","","","","26","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-18","2021","09","18","","17.9","","11.3","","14.6","","3.4","","0.0","","","","","","10.6","","","","24","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-19","2021","09","19","","15.6","","10.5","","13.0","","5.0","","0.0","","","","","","3.6","","","","25","","52",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-20","2021","09","20","","16.5","","10.4","","13.5","","4.5","","0.0","","","","","","0.0","","","","27","","36",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-21","2021","09","21","","21.2","","10.4","","15.8","","2.2","","0.0","","","","","","0.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-22","2021","09","22","","17.2","","10.6","","13.9","","4.1","","0.0","","","","","","0.2","","","","24","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-23","2021","09","23","","19.1","","10.7","","14.9","","3.1","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-24","2021","09","24","","22.1","","10.8","","16.5","","1.5","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-25","2021","09","25","","16.3","","11.3","","13.8","","4.2","","0.0","","","","","","0.0","","","","24","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-26","2021","09","26","","13.7","","11.0","","12.4","","5.6","","0.0","","","","","","22.2","","","","13","","34",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-27","2021","09","27","","16.7","","10.8","","13.8","","4.2","","0.0","","","","","","1.8","","","","26","","67",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-28","2021","09","28","","15.3","","10.0","","12.7","","5.3","","0.0","","","","","","2.8","","","","26","","50",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-29","2021","09","29","","14.0","","9.7","","11.8","","6.2","","0.0","","","","","","3.4","","","","14","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-09-30","2021","09","30","","13.8","","10.9","","12.3","","5.7","","0.0","","","","","","8.8","","","","25","","35",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-01","2021","10","01","","14.3","","8.2","","11.3","","6.7","","0.0","","","","","","0.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-02","2021","10","02","","14.1","","9.1","","11.6","","6.4","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-03","2021","10","03","","15.7","","8.6","","12.2","","5.8","","0.0","","","","","","0.4","","","","25","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-04","2021","10","04","","14.5","","7.6","","11.0","","7.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-05","2021","10","05","","14.1","","7.9","","11.0","","7.0","","0.0","","","","","","1.0","","","","27","","71",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-06","2021","10","06","","13.1","","7.5","","10.3","","7.7","","0.0","","","","","","1.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-07","2021","10","07","","12.5","","6.3","","9.4","","8.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-08","2021","10","08","","12.7","","7.3","","10.0","","8.0","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-09","2021","10","09","","10.4","","7.7","","9.1","","8.9","","0.0","","","","","","6.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-10","2021","10","10","","13.1","","7.1","","10.1","","7.9","","0.0","","","","","","0.4","","","","26","","55",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-11","2021","10","11","","12.1","","4.3","","8.2","","9.8","","0.0","","","","","","0.2","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-12","2021","10","12","","9.2","","5.8","","7.5","","10.5","","0.0","","","","","","0.6","","","","13","","38",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-13","2021","10","13","","10.6","","6.2","","8.4","","9.6","","0.0","","","","","","2.4","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-14","2021","10","14","","11.6","","8.1","","9.8","","8.2","","0.0","","","","","","2.8","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-15","2021","10","15","","11.5","","9.6","","10.5","","7.5","","0.0","","","","","","10.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-16","2021","10","16","","16.9","","10.0","","13.4","","4.6","","0.0","","","","","","1.4","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-17","2021","10","17","","11.6","","9.1","","10.4","","7.6","","0.0","","","","","","4.2","","","","27","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-18","2021","10","18","","12.2","","6.5","","9.4","","8.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-19","2021","10","19","","12.4","","6.4","","9.4","","8.6","","0.0","","","","","","0.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-20","2021","10","20","","13.3","","9.1","","11.2","","6.8","","0.0","","","","","","0.6","","","","13","","31",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-21","2021","10","21","","16.8","","9.8","","13.3","","4.7","","0.0","","","","","","2.2","","","","14","","61",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-22","2021","10","22","","11.5","","9.3","","10.4","","7.6","","0.0","","","","","","3.6","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-23","2021","10","23","","14.4","","8.7","","11.5","","6.5","","0.0","","","","","","0.0","","","","14","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-24","2021","10","24","","12.4","","9.3","","10.9","","7.1","","0.0","","","","","","1.2","","","","14","","66",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-25","2021","10","25","","12.1","","9.6","","10.8","","7.2","","0.0","","","","","","10.2","","","","16","","73",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-26","2021","10","26","","12.7","","8.6","","10.7","","7.3","","0.0","","","","","","2.8","","","","26","","67",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-27","2021","10","27","","12.3","","8.6","","10.5","","7.5","","0.0","","","","","","1.0","","","","24","","68",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-28","2021","10","28","","9.6","","7.9","","8.7","","9.3","","0.0","","","","","","71.4","","","","7","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-29","2021","10","29","","12.1","","6.4","","9.3","","8.7","","0.0","","","","","","6.0","","","","","","",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-30","2021","10","30","","10.9","","5.7","","8.3","","9.7","","0.0","","","","","","0.0","","","","3","","42",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-10-31","2021","10","31","","12.2","","5.6","","8.9","","9.1","","0.0","","","","","","0.2","","","","2","","37",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-01","2021","11","01","","10.2","","5.9","","8.1","","9.9","","0.0","","","","","","2.2","","","","2","","39",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-02","2021","11","02","","11.2","","7.4","","9.3","","8.7","","0.0","","","","","","6.0","","","","14","","60",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-03","2021","11","03","","11.7","","9.9","","10.8","","7.2","","0.0","","","","","","5.4","","","","14","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-04","2021","11","04","","12.3","","9.5","","10.9","","7.1","","0.0","","","","","","7.0","","","","28","","66",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-05","2021","11","05","","10.4","","6.0","","8.2","","9.8","","0.0","","","","","","0.8","","","","26","","63",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-06","2021","11","06","","9.6","","6.3","","8.0","","10.0","","0.0","","","","","","1.4","","","","21","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-07","2021","11","07","","9.0","","4.8","","6.9","","11.1","","0.0","","","","","","4.2","","","","22","","63",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-08","2021","11","08","","9.9","","5.9","","7.9","","10.1","","0.0","","","","","","0.2","","","","12","","47",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-09","2021","11","09","","10.7","","5.9","","8.3","","9.7","","0.0","","","","","","7.0","","","","12","","83",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-10","2021","11","10","","9.5","","6.2","","7.9","","10.1","","0.0","","","","","","2.4","","","","22","","43",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-11","2021","11","11","","10.5","","6.4","","8.4","","9.6","","0.0","","","","","","17.0","","","","9","","33",""
"-123.32","48.41","VICTORIA GONZALES CS","1018611","2021-11-12","2021","11","12","","12.2","","9.2","","10.7","","7.3","","0.0","","","","","","4.6","","","","26","","49",""
